Fecha y hora,Departamento,Jurisdiccion,Tipo de siniestro,Vehiculo,Rol,Edad,Sexo,Dias Fallecidos,Otro vehiculo,Lugar del Siniestro,Latitud,Longitud
3/21/2013 6:30:00,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,82,M,1,MOTO,AVENIDA JOSE BELLONI esq. CAMINO CAPITAN TULA,-34.8214197,-56.1415572
3/21/2013 19:50:00,SALTO,NACIONAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,72,M,0,AUTO,RUTA 31 km. 49.500,-31.3823467,-57.8429103
3/22/2013 11:20:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,43,M,1,CAMION,BOULEVARD GENERAL ARTIGAS esq. URUGUAYANA,-34.8709163,-56.2083705
3/22/2013 17:00:00,ROCHA,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,BICICLETA,PASAJERO,2,M,0,CAMION,25 de MAYO esq. BATLLE y ORDOóEZ,-34.47826,-54.3330917
3/23/2013 12:00:00,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,55,F,2,MOTO,AVENIDA DOCTOR CARLOS MARIA RAMIREZ esq. RIO DE JANEIRO,-34.8818724,-56.2541396
3/23/2013 13:15:00,PAYSANDU,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,17,F,0,,RUTA 3 km. 464,-32.3030185,-58.0430716
3/23/2013 13:15:00,PAYSANDU,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,9,F,0,,RUTA 3 km. 464,-32.3030185,-58.0430716
3/23/2013 13:15:00,PAYSANDU,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,59,F,0,,RUTA 3 km. 464,-32.3030185,-58.0430716
3/25/2013 0:45:00,CANELONES,NACIONAL,DESPISTE,CAMIONETA,CONDUCTOR,41,M,0,,RUTA INTERBALNEARIA km. 37.5,-34.7900943,-55.92794
3/25/2013 23:15:00,MONTEVIDEO,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,20,M,1,,CHILE esq. REPUBLICA ARGENTINA,-34.9011127,-56.1645314
