Fecha y hora,Departamento,JurisdicciÆn ,Tipo de siniestro,Veh–culo,Rol,Edad,Sexo,Fallecido a los (D–as),Otro veh–culo,Lugar del Siniestro,0.0,0.0
02/03/2013 18:20,FLORES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,26,M,3,MOTO,INES DURAN esq. SARANDI,-33.5133209,-56.9015007
02/03/2013 23:10,CANELONES,NACIONAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,55,M,0,,RUTA 81 esq. CAMINO AL RINCON DE VIDAL,-34.516667,-56.28333300000001
03/03/2013 10:00,SALTO,NACIONAL,DESPISTE,AUTO,PASAJERO,40,M,0,,RUTA 3 km. 507,-31.3957169,-57.9065285
03/03/2013 19:48,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,24,M,1,AUTO,AVELLANEDA esq. VEINTIUNO DE ABRIL,-34.9011127,-56.16453139999999
04/03/2013 10:15,TACUAREMBO,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,65,M,0,AUTO,AV. OLIVER esq. HERREIRA Y REISSIG,-31.7089901,-55.9974785
05/03/2013 18:30,CANELONES,NACIONAL,CAIDA,MOTO,CONDUCTOR,35,M,0,,RUTA 7 km. 55.800,-34.5214738,-56.2999351
06/03/2013 12:55,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,8,F,2,CAMIONETA,DIECIOCHO DE JULIO esq. MADRID,-34.516667,-56.28333300000001
06/03/2013 20:50,CERRO LARGO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,25,M,0,CAMIONETA,RUTA 8 km. 413,-32.3066971,-54.1636428
07/03/2013 18:05,RIVERA,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,19,M,0,,CHASQUE DE LOS SANTOS esq. DIONISIO ORIBE,-30.8866284,-55.5616482
08/03/2013 06:45,SAN JOSE,NACIONAL,DESPISTE,AUTO,CONDUCTOR,42,M,0,,RUTA 1 km. 73.800,-34.5742989,-56.7191505
08/03/2013 10:00,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,10,F,0,AUTO,RUTA 64 esq. BALTASAR BRUM,-34.5263205,-56.283459
09/03/2013 04:55,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,34,M,0,MOTO,PRIMERA AL NORTE esq. CAMINO CIBILS,-34.8627476,-56.268929
10/03/2013 01:50,RIO NEGRO,NACIONAL,CAIDA,MOTO,CONDUCTOR,47,M,1,,RUTA 25 km. 44,-32.766518,-57.91987359999999
10/03/2013 06:00,CANELONES,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,52,M,0,AUTO,RUTA 64 km. 3.800,-34.5214738,-56.2999351
13/03/2013 17:00,ARTIGAS,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,CAMIONETA,PASAJERO,31,F,0,CAMIONETA,CAMINO VECINAL A TRES CERROS a 8 Km de RUTA 4,0.0,0.0
15/03/2013 13:30,ROCHA,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,69,F,0,CAMION,RUTA 10 km. 271.500,-34.4878288,-54.319523
16/03/2013 13:00,CANELONES,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,9,F,0,CAMIONETA,RUTA 101 km. 19,-34.789378,-56.0013672
17/03/2013 22:40,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,34,M,28,AUTO,AVENIDA OCHO DE OCTUBRE esq. MARCOS SASTRE,-34.8596637,-56.13086759999999
18/03/2013 02:45,LAVALLEJA,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,42,M,0,,RUTA 8 km. 127.500,-34.3779782,-55.2527051
18/03/2013 03:05,SAN JOSE,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,44,M,2,,ANSINA Y 25 DE MAYO,-34.3343004,-56.7120704
18/03/2013 05:56,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,38,M,0,OMNIBUS,AVENIDA GIANNATTASIO ENTRE RACINE Y AVENIDA DE LA PALYA,-34.516667,-56.28333300000001
18/03/2013 06:55,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,19,M,0,AUTO,JACINTO MARIA ALVARIZA esq. CARLOS REYLES,-34.8860404,-54.9427947
19/03/2013 04:00,SAN JOSE,NACIONAL,CAIDA,MOTO,CONDUCTOR,42,M,1,,RUTA 1 km. 26,-34.7536068,-56.4131806
19/03/2013 18:15,PAYSANDU,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,28,M,24,MOTO,COLON esq. CIUDAD DE YOUNG,-32.324001,-58.061577
20/03/2013 11:35,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,32,M,7,OMNIBUS,AVENIDA GENERAL EUGENIO GARZON esq. CARVE,-34.8072209,-56.2284002
21/03/2013 05:00,TACUAREMBO,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,28,M,0,,CARLOS GARDEL esq. BENITO NARDONE,-31.7223206,-55.9738998
21/03/2013 06:30,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,82,M,1,MOTO,AVENIDA JOSE BELLONI esq. CAMINO CAPITAN TULA,-34.8214197,-56.14155719999999
21/03/2013 19:50,SALTO,NACIONAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,72,M,0,AUTO,RUTA 31 km. 49.500,-31.3823467,-57.8429103
22/03/2013 11:20,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,43,M,1,CAMION,BOULEVARD GENERAL ARTIGAS esq. URUGUAYANA,-34.8709163,-56.2083705
22/03/2013 17:00,ROCHA,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,BICICLETA,PASAJERO,2,M,0,CAMION,25 de MAYO  esq. BATLLE y ORDOÛEZ,-34.47826,-54.3330917
23/03/2013 12:00,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,55,F,2,MOTO,AVENIDA DOCTOR CARLOS MARIA RAMIREZ esq. RIO DE JANEIRO,-34.8818724,-56.25413959999999
23/03/2013 13:15,PAYSANDU,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,17,F,0,,RUTA 3 km. 464,-32.3030185,-58.0430716
23/03/2013 13:15,PAYSANDU,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,9,F,0,,RUTA 3 km. 464,-32.3030185,-58.0430716
23/03/2013 13:15,PAYSANDU,NACIONAL,DESPISTE,CAMIONETA,PASAJERO,59,F,0,,RUTA 3 km. 464,-32.3030185,-58.0430716
25/03/2013 00:45,CANELONES,NACIONAL,DESPISTE,CAMIONETA,CONDUCTOR,41,M,0,,RUTA INTERBALNEARIA km. 37.5,-34.7900943,-55.92794
25/03/2013 23:15,MONTEVIDEO,DEPARTAMENTAL,COLISION CON OBSTACULO,MOTO,CONDUCTOR,20,M,1,,CHILE esq. REPUBLICA ARGENTINA,-34.9011127,-56.16453139999999
27/03/2013 11:30,MONTEVIDEO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,82,M,28,MOTO,RUTA 8 km. 21.200 esq. CAMINO TENIENTE GALEANO,-34.8154003,-56.1079411
27/03/2013 15:40,FLORIDA,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,38,M,1,AUTO,RUTA 5 km. 94.500,-33.7297462,-56.3249493
27/03/2013 15:40,FLORIDA,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,67,F,0,AUTO,RUTA 5 km. 94.500,-33.7297462,-56.3249493
29/03/2013 03:10,CANELONES,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,N,M,0,CAMIONETA,FRANCISCO ACUÛA DE FIGUEROA esq. JOSE BATLLE Y ORDOÛEZ,-34.5299911,-56.2827606
30/03/2013 16:45,PAYSANDU,NACIONAL,DESPISTE,AUTO,PASAJERO,79,M,0,,RUTA 3 km. 381,-32.3030185,-58.0430716
